ProjectID,LessonDateAdded,Category,WWW_EBI_ID,LessonIdentifiedBy,LessonIdentifiersArea,LessonHowIdentifed,LessonUploadedByID,Summary,LessonDescription
,04/11/2020,Assurance,WWW,Freddie Mercury,SPDS,,1,test summary,test description
EUSS,05/11/2020,a123456789101112131415161718192021222324252627282930313233343536373839404142434445,hep,Axl Rose,SPDS,Sprint Retro,3,1,1
EUSS,06/11/2020,,ebi,James Hetfield,ad123456789123456789123456789123456789123456789,Sprint Retro,12,,a80954223959759542475424974272822853758950345640916514468308995922096147487566906719655735735898195328751472827315803368888829517324978121159487841379287667982721337458218386612477802686378392715015779807663493818466551981222526477489404038818532509319958266181009521336473618026705628556805051736931456152631423846288099633137549137608432920584167043169648340708733506659385492927701625817196722352695929307503908416225239809226100427409614856682859576943273839546356857833899968917097908366215721169058285154928740540615290981258594659342805489133086074362585107029631887159024683616443265106554751943140149288676229825676364995114318556109434216167960719179546495662182062254944067196990766389462655205267674297144022662174953106000573164275030214321577590140055976260360706022576541614655517057222190107351908752787686057424293412971980025365217768963584339741640584191158979442565739811527886991927523264048439831650679868811446630005306063779594542924181236817063730067493840474726058071317620436482584853142745588644336425610574289113992411814638327901062959527951564446245225474535917212686006290254787882723780775843857667356273522624133949490659550714112387418437668421515147453256615811330408166278247669581839142275903761919240388256506263205252243225538186191030732718662008189965553580277592561202661487252770051218174640238488431639876975170172751017877840976957429164493631199044546654298981535518769136934688239576736523439737625073339185396838334517799117143803061385412746192444886195725525225824751839917499146939751835551442066642619231127581516028253487894305554968547258066615514599422755424408829342408051318484908571445198422742216160653127895813889820948780229383345981837367781800201779349219690053898735896308321051798593518895773952397472552546910162260620864603971504800341369630536481941848293179341196968285039491357084972757816538527572222220641305244749576383061816155543632288245056706613410189842920900711448695342117940234549847882108090120773697247332597879746949457419299175064188574464625219908959285786126151231179392445717889768687680456145912896678859
123456789,07/11/2020,Design,WWW,Bruce Dickinson,Ops,lessons learned review,8,3,3
,08/11/2020,Resources,EBI,David Draiman,TEaL,Sprint Retro,4,4,requrement
TP081,09/11/2020,Strategy,www,Serj Tankain,Sapphire,test0123456789012345678901234567890123456789012345679012345678901234567890123456789012314567890123456789012345678901234657890123456789012345678901234567980123456789,16,5,5
TP081a,17/11/2020,Strategy,,Amy Lee,,lessons learned review,8,test0123456789012345678901234567890123456789012345679012345678901234567890123456789012314567890123456789012345678901234657890123456789012345678901234567980123456789,
TP081a,17/11/2020,Assurance,3b!,Anders Friden,Azure,lessons learned review,20,7,7
,17/11/2020,Commercial,EBI,Elise Ryd,Chrome,lessons learned review,17,8,8
TP057,23/11/2020,Deployment,www,,Enablers,Sprint Retro,3,9,9
TP057,23/11/2020,,,ap123456789123456789123456789123456789123456789,Enablers,Sprint Retro,4,10,10
TP057,23/11/2020,Security,EBI,Brendan Ure,Enablers,Sprint Retro,4,10,10
